Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20209300,,,,
Gabon,73457901.59,-54589233.79,126940086.2,-113715590.7,-99602904,-195496960.3,-285112515.1,-114712203.8,132605754.2,89452781.63,278061232,-100615451,1160708.31,99666154.02,313970792,326161877.9,267805000,654808577.2,693511289,635674956.8,523939106.2,1123536919,677327365.5,324032442.4,1263109047,41707702.33,1243660160,1314029330,1379070816
United Kingdom,41363405439,23244186242,23011210834,19686257927,19561337402,29129258041,32412668835,51311836384,1.09818E+11,1.29892E+11,1.6413E+11,56090924809,89760582753,36011240473,87059621382,2.52653E+11,2.03636E+11,2.09515E+11,2.53454E+11,14547108445,66734551294,27012050072,46750789728,54473175400,58890445253,45333483122,3.24813E+11,1.25359E+11,-25055440307
Georgia,,,,10000,8000000,,,242500000,265300000,82300000,131466678.3,109871635.5,160398660.5,334891041.6,492732940,453107292,1171394522,1892093991,1602232456,660800885.3,920915812.7,1170087550,968196197.6,1046562195,1836879043,1735285392,1659819993,1920628293,1270488181
Ghana,14800000,20000000,22500000,125000000,233000000,106500000,120000000,81800000,167400000,243700000,165900000,89320000,58930000,136751000,139270000,144970000,636010000,1383177930,2714916344,2372540000,2527350000,3247588000,3294520000,3227000000,3363389444,3192320531,3485333369,3254990000,2989035000
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,17860000,38770000,19690000,2720000,210000,769000,23774000,17301000,17810000,63452427,9942000,1677000,30000000,78966000,97900000,105000000,125000000,385900000,381880000,91030000,0,956060000,605560000,190000,-73758603.66,53272458.42,1618447260,577590000,352760000
"Gambia, The",14119999.9,9270433.339,6323269.186,10741221.68,9716366.67,7729249.072,10655113.98,11666476.04,23699999.9,49479999.9,43520000,35479999.9,42826999.9,18272720.34,55526319.44,53650280.02,82208102.59,78094820.96,70792382.32,39447343.71,37140887.81,36077136.08,41183457.77,68340322.38,23014092.04,71976051.7,69830172.21,64338516.04,81805006.6
Guinea-Bissau,2020000,2089999.9,5830000,3299999.9,430000,40000,1030000,11479108.8,4407138.2,730876.613,702270.863,395613.5963,3545253.689,4005503.687,1915633.352,8692468.09,17887123.56,18770117.49,6630074.028,18890200,26240200,25024047.39,6624917.193,19639703.8,28852727.69,18575499.45,14221700,15691197.95,20563818.22
Equatorial Guinea,11073778.66,41324758.93,6018320.158,22301675.64,16995533.49,126924170.7,376180404.2,53451528.1,274768116.7,154296173.9,154499589.9,940741215.7,323391507.5,689779766,340914468.5,769146185.2,469506014.6,1242731087,-793872332.8,1636219625,2734000000,1975000000,985256411.5,582948701.9,167875182.6,233325072.8,53998812.9,304827249.5,396077780
